Template,Query,PCScore,SMILES
STB_C010_075,8578,0.8129,c1ccc([Sn](c2ccccc2)(c2ccccc2)c2cccnc2)cc1
STB_C010_075,6169,0.8128,c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
STB_C010_075,6167,0.7415,c1cc2=[S]Sc3cccc(=[S][S]=c4cccc([nH]4)SSc(c1)[nH]2)[nH]3
STB_C010_075,11018,0.7299,c1ccc(SC(=C(Sc2ccccc2)c2ccccc2)Sc2ccccc2)cc1
STB_C010_075,10831,0.7231,O=C(c1ccccc1)C(Sc1nccc(CSc2ccccc2)n1)c1ccccc1
STB_C010_075,511,0.7188,O=S(=O)(Nc1cc(S(=O)(=O)c2ccccc2)cc2ncccc12)c1ccccc1
STB_C010_075,6159,0.7122,c1ccc(CSC(Cc2ccccc2)(SCc2ccccc2)c2ccccc2)cc1
STB_C010_075,5285,0.7101,O=S(=O)(N=C(NC(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1
STB_C010_075,11543,0.7075,O=C(CSc1nc2ccccc2c(=O)n1Cc1ccccc1)NC(=O)c1ccccc1
STB_C010_075,15019,0.7042,O=C1c2ccccc2S(=O)(=O)N1CN(c1ncncn1)S(=O)(=O)c1ccccc1
STB_C010_075,6104,0.703,S=C(Nc1ccccc1Sc1ccccc1)N(Cc1ccccc1)c1ccccc1
STB_C010_075,13357,0.7004,O=C(CSc1nc2ccccc2c(=O)[nH]1)Nc1cccc(C(=O)Nc2ccccc2)c1
STB_C010_075,8412,0.7002,O=C(Nc1ccccc1Sc1ccccc1)C(Sc1ccccc1)c1ccccc1
STB_C010_075,9324,0.7,O=C(CS(=O)(=O)c1cc(c2ccccc2)ccn1)N(c1ccccc1)c1ccccc1
STB_C010_075,1110,0.6993,O=S(=O)(c1cccnc1NCc1cccnc1Oc1ccccc1)N1CCCCC1
STB_C010_075,15695,0.6992,O=S(=O)(NNc1cc(NC(c2ccccc2)c2ccccc2)ncn1)c1ccccc1
STB_C010_075,1952,0.6990000000000001,S=C(c1ccccc1)N(c1ccccc1)N(C(=S)c1ccccc1)c1ccccc1
STB_C010_075,3405,0.6988,O=S(=O)(NC(C=C(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1
STB_C010_075,11149,0.6965,O=P(NCC(c1ccccc1)c1ccccc1)(Oc1ccccc1)Oc1ccccc1
STB_C010_075,17186,0.6963,O=S(=O)(NNc1cc(N(Cc2ccccc2)c2ccccn2)ncn1)c1ccccc1
STB_C010_075,13936,0.6961,O=C(CCN(c1ccccc1)S(=O)(=O)c1ccc2ccccc2c1)Nc1ccccc1
STB_C010_075,3102,0.6957,O=c1ccc2cc(S(=O)(=O)N(CCc3ccccc3)Cc3cccs3)ccc2o1
STB_C010_075,1955,0.6945,c1ccc(N=C(Sc2ccccc2)C(=Nc2ccccc2)Sc2ccccc2)cc1
STB_C010_075,13246,0.6929,O=C(NC(=S)Nc1ccc2oc(=O)ccc2c1)c1cccc(OCc2ccccc2)c1
STB_C010_075,9785,0.6911,O=S(=O)(c1ccccc1)N1CCCN(S(=O)(=O)c2ccccc2)c2ccccc12
STB_C010_075,11935,0.691,O=S(=O)(c1ccccc1)N1CNCN(S(=O)(=O)c2ccccc2)c2ccccc12
STB_C010_075,1773,0.6907,O=C(NCc1ccccc1)c1ccc(CNc2ccccc2Sc2ccccc2)cc1
STB_C010_075,7371,0.6903,O=C(CSc1ncc(Cc2ccccc2)c(=O)n1c1ccccc1)Nc1ccccc1
STB_C010_075,7385,0.6899,O=C(CSc1nc(=O)c(Cc2ccccc2)cn1c1ccccc1)Nc1ccccc1
STB_C010_075,14836,0.6895,O=c1c(SCc2ccccc2)c(SCc2ccccc2)cnn1Cc1ccccc1
STB_C010_075,1921,0.6890000000000001,O=S(=O)(c1ccc2c(c1)NCCS2)N(CCc1ccccc1)Cc1ccccc1
STB_C010_075,15603,0.688,O=C(Nc1ccccc1)C(NS(=O)(=O)Cc1cccc2cccnc12)c1ccccc1
STB_C010_075,5169,0.6875,O=S(=O)(OCC(=C(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1
STB_C010_075,3567,0.6874,O=C(NCCc1ccccc1)c1cccc(CSc2ccc(c3ccccc3)nn2)c1
STB_C010_075,9128,0.6873,O=S(=O)(c1ccccc1)N(Cc1nnc2ccccn12)S(=O)(=O)c1ccccc1
STB_C010_075,9319,0.6871,O=C(CSc1ccc2ccccc2n1)OC(C(=O)Nc1ccccc1)c1ccccc1
STB_C010_075,14361,0.6859999999999999,O=C(CSc1nc2ccccc2nc1SCC(=O)c1ccccc1)c1ccccc1
STB_C010_075,11670,0.6859,S=C(NCc1cccnc1)Nc1nc(Oc2ccccc2)cc(Oc2ccccc2)n1
STB_C010_075,9533,0.6859,S=C(NCc1ccccc1)Nc1nc(Oc2ccccc2)cc(Oc2ccccc2)n1
STB_C010_075,8568,0.6857,c1ccc(SNCCSC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
STB_C010_075,9304,0.6853,O=C(Nc1ccccc1c1ccccc1)c1cccc(NS(=O)(=O)c2ccccc2)c1
STB_C010_075,1155,0.6844,O=S(=O)(c1ccc(NCc2cccnc2Oc2ccccc2)nc1)N1CCCCC1
STB_C010_075,15153,0.6844,O=C(Nc1ccccc1)C(=NNS(=O)(=O)c1ccccc1)c1cnc2ccccc2n1
STB_C010_075,12787,0.6836,O=C(Nc1ccccc1)Nc1ccc(Sc2ccccc2)nc1Sc1ccccc1
STB_C010_075,7070,0.6831,O=C(c1ccccc1)c1ccccc1N(Cc1ccccc1)S(=O)(=O)c1ccccc1
STB_C010_075,12385,0.6829999999999999,O=S(=O)(c1ccccc1)N(CCCc1cncnc1c1ccccc1)c1ccccc1
STB_C010_075,467,0.6828,O=C(COc1ccc(C(=O)NCCc2ccccc2)cc1)Nc1cccc2ccccc12
STB_C010_075,729,0.6812,O=C(CN(c1ccccc1)S(=O)(=O)c1cccnc1)Nc1nc2ccccc2s1
STB_C010_075,12361,0.6805,O=S(=O)(Nc1ccccc1)c1ccc(N(Cc2ccccc2)Cc2ccccc2)nc1
STB_C010_075,13954,0.6804,O=S(=O)(c1ccccc1)N(c1ccc2scnc2c1)S(=O)(=O)c1ccccc1
STB_C010_075,13365,0.6804,O=C(Nc1cnc(c2ccccc2)nc1)c1cccc(S(=O)(=O)Nc2ccccc2)c1
STB_C010_075,952,0.6793,O=C(C=Cc1ccccc1)Nc1cc(Oc2cccnc2)cc(Sc2ccccc2)c1
STB_C010_075,943,0.6792,O=C(Nc1cccc(C(=O)Nc2ccccc2Sc2ccccc2)c1)c1ccccc1
STB_C010_075,10282,0.6783,O=S(=O)(Nc1ccc(N(Cc2ccccc2)Cc2ccccc2)cc1)c1ccccc1
STB_C010_075,12393,0.6782,O=S(=O)(Nc1ccc(N(Cc2ccccc2)Cc2ccccc2)nc1)c1ccccc1
STB_C010_075,5270,0.6774,O=C(Nc1cccc(OCc2ccccn2)c1)C(Sc1ccccc1)c1ccccc1
STB_C010_075,665,0.6767,O=C(COc1ccccc1)Nc1ccccc1SCc1cc(=O)n2ncsc2n1
STB_C010_075,1709,0.6761,O=C(CC(Sc1ccccc1)c1ccccc1OCc1ccccc1)c1ccccc1
STB_C010_075,11680,0.6756,O=S(=O)(N=C(Nc1ccc(c2ccccc2)cc1)Nc1ncccn1)c1ccccc1
STB_C010_075,1486,0.6754,O=C1CCCN1c1ccc(S(=O)(=O)Nc2ccccc2Sc2ccccc2)cc1
STB_C010_075,2733,0.6749,O=S(=O)(NCCc1ccccn1)C1CONC1c1cccc(Oc2ccccc2)c1
