ZID,Z_PCScore,BB_PCScore,MW,LogP,TPSA,RotatableB,HBD,HBA,Ring,Total_Charge,HeavyAtoms,CarBonAtoms,HeteroAtoms,Lipinski_Violation,VeBer_Violation,Egan_Violation,Toxicity,SMILES,Purchasability,Tier
ZINC000169816273,0.8437,0.8128,457.14258,3.0726000000000004,9.23,5.0,0,2,4,0.0,27.0,25.0,2.0,-1.0,Unknown,Unknown,Unknown,COc1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816069,0.8427,0.8128,457.14258,2.5563,20.23,5.0,1,2,4,0.0,27.0,25.0,2.0,-1.0,Unknown,Unknown,Unknown,OCc1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816226,0.8329,0.8128,461.56165999999996,3.717400000000002,0.0,4.0,0,1,4,0.0,26.0,24.0,2.0,-1.0,Unknown,Unknown,Unknown,Clc1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816215,0.8321,0.8128,506.01266,3.826500000000001,0.0,4.0,0,1,4,0.0,26.0,24.0,2.0,-1.0,Unknown,Unknown,Unknown,Brc1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169818451,0.8311,0.8129,428.10466000000014,2.459,12.89,4.0,0,2,4,0.0,25.0,23.0,2.0,-1.0,Unknown,Unknown,Unknown,c1ccc([Sn](c2ccccc2)(c2ccccc2)c2cccnc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000197986840,0.8307,0.8128,453.15387999999996,3.7070000000000016,0.0,5.0,0,1,4,0.0,27.0,26.0,1.0,-1.0,Unknown,Unknown,Unknown,C=Cc1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816836,0.8273,0.8128,443.116,2.7696000000000005,20.23,4.0,1,2,4,0.0,26.0,24.0,2.0,-1.0,Unknown,Unknown,Unknown,Oc1cccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)c1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169746559,0.827,0.8128,427.11660000000006,3.0640000000000014,0.0,4.0,0,1,4,0.0,25.0,24.0,1.0,-1.0,Unknown,Unknown,Unknown,c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816063,0.8267,0.8128,470.1844,3.1300000000000012,3.24,5.0,0,2,4,0.0,28.0,26.0,2.0,-1.0,Unknown,Unknown,Unknown,CN(C)c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816073,0.8174,0.8128,457.14258,2.5563,20.23,5.0,1,2,4,0.0,27.0,25.0,2.0,-1.0,Unknown,Unknown,Unknown,OCc1ccccc1[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816223,0.8082,0.8128,441.14318,3.3724000000000007,0.0,4.0,0,1,4,0.0,26.0,25.0,1.0,-1.0,Unknown,Unknown,Unknown,Cc1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Purchasable,T 1.6 Backbone Alignment Search
ZINC000169816055,0.8056,0.8128,471.16916,3.2104000000000013,9.23,6.0,0,2,4,0.0,28.0,26.0,2.0,-1.0,Unknown,Unknown,Unknown,COCc1ccccc1[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,Purchasable,T 1.6 Backbone Alignment Search
