Template,Query,PCScore,SMILES
STB_NS_01037,3,0.8036,c1cc(C2CC2)ccc1c1nnn[nH]1
STB_NS_01037,16,0.8026,c1coc(c2ccc(C3CC3)cc2)c1
STB_NS_01037,7,0.8026,c1c[nH]c(c2ccc(C3CC3)cc2)n1
STB_NS_01037,12,0.8023,c1c[nH]c(c2ccc(C3CC3)cc2)c1
STB_NS_01037,8,0.8021,c1nc(c2ccc(C3CC3)cc2)c[nH]1
STB_NS_01037,19,0.8019,c1nc(c2ccc(C3CC3)cc2)co1
STB_NS_01037,18,0.8019,c1cc(c2ccc(C3CC3)cc2)no1
STB_NS_01037,6,0.7899,c1noc(c2ccc(C3CC3)cc2)n1
STB_NS_01037,14,0.7856,c1cc(c2ccc(C3CC3)cc2)n[nH]1
STB_NS_01037,9,0.7856,c1cc(c2ccc(C3CC3)cc2)[nH]n1
STB_NS_01037,15,0.7849,c1cc(c2ccc(C3CC3)cc2)on1
STB_NS_01037,5,0.7601,c1cc(C2CC2)ccc1CC1CC1
STB_NS_01037,17,0.7539,c1cc(C2CC2)ccc1c1cn[nH]c1
STB_NS_01037,10,0.7147,C1=NCC(c2ccc(C3CC3)cc2)N1
STB_NS_01037,1,0.7144,C1=NC(c2ccc(C3CC3)cc2)CO1
STB_NS_01037,2,0.7144,C1=NCC(c2ccc(C3CC3)cc2)O1
STB_NS_01037,11,0.7043,c1cc(C2CC2)ccc1CC1CNC1
STB_NS_01037,0,0.6672,c1cc(C2CCN2)ccc1C1CC1
STB_NS_01037,13,0.6526,c1cc(C2CCC2)ccc1C1CCC1
STB_NS_01037,4,0.61,c1cc(C2CCO2)ccc1C1CC1
