ZID,Z_PCScore,BB_PCScore,MW,LogP,TPSA,RotatableB,HBD,HBA,Ring,Total_Charge,HeavyAtoms,CarBonAtoms,HeteroAtoms,Lipinski_Violation,VeBer_Violation,Egan_Violation,Toxicity,SMILES,Backbone,Purchasability,Tier
* STB_NS_01037,,,299.32602,3.7868000000000017,47.78,,0.0,3.0,4,,,,,,,,,O=C(c1ccc(c2ccccc2)cc1)n1nnc2ccccc12,O=C(c1ccc(cc1)c2ccccc2)n4nnc3ccccc34,,
ZINC000149287464,0.7685,0.8036,201.22784,1.5147999999999997,80.47999999999998,2.0,2,5,3,0.0,15.0,10.0,5.0,-1.0,Unknown,Unknown,Unknown,NC1(c2ccc(c3nnn[nH]3)cc2)CC1,c1cc(C2CC2)ccc1c1nnn[nH]1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000304219499,0.6459,0.8026,226.27376000000007,3.1567,45.75,3.0,1,3,3,0.0,17.0,14.0,3.0,-1.0,Unknown,Unknown,Unknown,CC(=O)c1c[nH]c(c2ccc(C3CC3)cc2)n1,c1c[nH]c(c2ccc(C3CC3)cc2)n1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000757569033,0.7145,0.8026,226.27046000000007,3.8106000000000013,30.21,3.0,0,1,3,0.0,17.0,15.0,2.0,-1.0,Unknown,Unknown,Unknown,CC1(c2ccc(c3ccc(C=O)o3)cc2)CC1,c1coc(c2ccc(C3CC3)cc2)c1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000725345263,0.7581,0.8023,211.25912000000002,3.3716,32.86,3.0,1,2,3,0.0,16.0,14.0,2.0,-1.0,Unknown,Unknown,Unknown,O=Cc1ccc(c2ccc(C3CC3)cc2)[nH]1,c1c[nH]c(c2ccc(C3CC3)cc2)c1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000725345221,0.7184,0.8023,227.25852000000003,3.2573,53.09,3.0,2,3,3,0.0,17.0,14.0,3.0,-1.0,Unknown,Unknown,Unknown,O=C(O)c1ccc(c2ccc(C3CC3)cc2)[nH]1,c1c[nH]c(c2ccc(C3CC3)cc2)c1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000125772795,0.6773,0.8021,255.35804000000007,4.2513000000000005,43.84,3.0,1,2,3,0.0,19.0,16.0,3.0,-1.0,Unknown,Unknown,Unknown,CC(C)c1nc(c2ccc(C3CC3)cc2)c(N)n1C,c1nc(c2ccc(C3CC3)cc2)c[nH]1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000123014959,0.6626,0.8021,269.38462000000004,4.5633,43.84,5.0,1,2,3,0.0,20.0,17.0,3.0,-1.0,Unknown,Unknown,Unknown,CCCc1nc(c2ccc(C3CC3)cc2)c(N)n1CC,c1nc(c2ccc(C3CC3)cc2)c[nH]1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000125768058,0.6567,0.8021,255.35804,4.3093,43.84,4.0,1,2,3,0.0,19.0,16.0,3.0,-1.0,Unknown,Unknown,Unknown,CCCn1c(C)nc(c2ccc(C3CC3)cc2)c1N,c1nc(c2ccc(C3CC3)cc2)c[nH]1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000219884496,0.6874,0.8021,256.29974,2.7433000000000005,54.98,4.0,1,6,3,0.0,19.0,15.0,4.0,0.0,False,False,Toxic,CCOC(=O)[C@@H]1C[C@H]1c1ccc(c2c[nH]cn2)cc1,c1nc(c2ccc(C3CC3)cc2)c[nH]1,Purchasable,T 1.5 Inner-Scaffold Search
