ZID,Z_PCScore,BB_PCScore,MW,LogP,TPSA,RotatableB,HBD,HBA,Ring,Total_Charge,HeavyAtoms,CarBonAtoms,HeteroAtoms,Lipinski_Violation,VeBer_Violation,Egan_Violation,Toxicity,SMILES,Purchasability,Tier
* STB_NS_03986,,,336.36288319999994,2.7342,49.330000000000005,,0.0,5.0,4,,,,,,,,,O=C(c1cccnc1)N1CCN(c2ccc3ccc(F)cc3n2)CC1,,
ZINC000089920416,0.7714,0.7873,209.3079400000001,1.0389999999999997,24.750000000000004,2.0,1,5,3,1.0,15.0,12.0,3.0,0.0,False,False,Toxic,C[C@@H]1C[C@@H]1C(=O)N1CC[N@@H+](C2CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000089920418,0.7714,0.7873,209.3079400000001,1.0389999999999997,24.750000000000004,2.0,1,5,3,1.0,15.0,12.0,3.0,0.0,False,False,Toxic,C[C@@H]1C[C@H]1C(=O)N1CC[N@@H+](C2CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000089920419,0.7714,0.7873,209.3079400000001,1.0389999999999997,24.750000000000004,2.0,1,5,3,1.0,15.0,12.0,3.0,0.0,False,False,Toxic,C[C@H]1C[C@H]1C(=O)N1CC[N@@H+](C2CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000089920417,0.7714,0.7873,209.3079400000001,1.0389999999999997,24.750000000000004,2.0,1,5,3,1.0,15.0,12.0,3.0,0.0,False,False,Toxic,C[C@H]1C[C@@H]1C(=O)N1CC[N@@H+](C2CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000120076513,0.7599,0.7873,223.33452000000003,1.4290999999999998,24.750000000000004,2.0,1,4,3,1.0,16.0,13.0,3.0,0.0,False,False,Toxic,CC1(C)C[C@@H]1C(=O)N1CC[N@@H+](C2CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000150851467,0.7578,0.7873,209.3079400000001,1.1831,24.750000000000004,2.0,1,3,3,1.0,15.0,12.0,3.0,0.0,False,False,Toxic,CC1(C(=O)N2CC[NH+](C3CC3)CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000042490255,0.7532,0.753,182.2627200000001,0.04099999999999998,19.01,3.0,0,4,3,0.0,13.0,10.0,3.0,-1.0,Unknown,Unknown,Unknown,C([C@@H]1CO1)N1CCN(C2CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000042490256,0.7532,0.753,182.2627200000001,0.04099999999999998,19.01,3.0,0,4,3,0.0,13.0,10.0,3.0,-1.0,Unknown,Unknown,Unknown,C([C@H]1CO1)N1CCN(C2CC2)CC1,Purchasable,T 1.5 Inner-Scaffold Search
ZINC000307157336,0.7506,0.7506,192.2608400000001,0.6969999999999996,35.160000000000004,2.0,1,4,3,0.0,14.0,10.0,4.0,-1.0,Unknown,Unknown,Unknown,c1c[nH]c(N2CCN(C3CC3)CC2)n1,Purchasable,T 1.5 Inner-Scaffold Search
